User_ID,Age,Gender,Total_App_Usage_Hours,Daily_Screen_Time_Hours,Number_of_Apps_Used,timestamp,hour,Gaming_App_Usage_Hours,Location,day_of_week
1,56,Male,2.61,7.15,24,4.43,0.55,2.4,Los Angeles,Monday
2,46,Male,2.13,13.79,18,4.67,4.42,2.43,Chicago,Tuesday
3,32,Female,7.28,4.5,11,4.58,1.71,2.83,Houston,Wednesday
4,25,Female,1.2,6.29,21,3.18,3.42,4.58,Phoenix,Thursday
5,38,Male,6.31,12.59,14,3.15,0.13,4,New York,Friday
6,56,Female,3.31,1.04,21,2.02,3.45,2.26,Chicago,Saturday
7,36,Male,4.81,1.52,24,3.76,1.58,3.59,Los Angeles,Sunday
8,40,Male,9.53,8.85,11,2.66,0.28,2.93,Chicago,Monday
9,28,Male,11.35,12.8,9,3.39,3.05,2.46,Phoenix,Tuesday
10,28,Male,1.8,4.11,16,2.14,1.2,0.96,New York,Wednesday
11,41,Female,6.88,7.11,21,3.66,1.93,2.32,Chicago,Thursday
12,53,Female,10.71,6.86,21,4.12,0.4,1.23,Phoenix,Friday
13,57,Female,1.91,7.15,4,0.73,0.74,4.57,Los Angeles,Saturday
14,41,Male,10.07,9.09,11,4.16,1.49,1.68,Houston,Sunday
15,20,Male,4.94,7.11,15,2.7,0.45,4.76,Los Angeles,Monday
16,39,Male,4.54,6.82,17,4.22,4.55,2.67,New York,Tuesday
17,19,Female,11.75,7.17,5,2.16,0.03,3.16,Los Angeles,Wednesday
18,41,Male,3.21,8.68,13,1.9,2.42,2.71,Los Angeles,Thursday
19,47,Female,8.63,7.98,23,4.58,0.62,0.65,Los Angeles,Friday
20,55,Female,10.04,12.1,16,1.26,1.54,1.88,Los Angeles,Saturday
21,19,Female,1.45,1.64,27,4.22,4.63,0.5,New York,Sunday
22,38,Female,8.37,11.83,10,2.42,0.81,3.11,Phoenix,Monday
23,50,Female,11.47,11.97,20,2.57,4.83,2.23,Chicago,Tuesday
24,29,Female,2.37,4.7,21,1.54,1.03,3.89,Houston,Wednesday
25,39,Male,10.86,7.02,18,2.87,3.71,1.1,Chicago,Thursday
26,42,Male,7.54,6.7,4,1.63,2.73,0.82,Chicago,Friday
27,44,Female,7.78,3.84,10,0.2,4.42,2.03,Houston,Saturday
28,59,Female,7.74,6.16,24,1.36,2.77,4.63,New York,Sunday
29,45,Male,4.29,1.58,8,0.03,2.67,3.55,Houston,Monday
30,33,Female,11.29,4.61,14,4.89,0.98,2.09,New York,Tuesday
31,32,Female,11.42,11.62,17,4.83,0.83,2.59,Chicago,Wednesday
32,20,Male,7.88,4.7,27,1.98,4.58,0.42,New York,Thursday
33,54,Female,9.62,11.64,10,3.64,1.64,4.92,Phoenix,Friday
34,24,Female,7.73,7.91,6,1.73,1.86,3.33,Houston,Saturday
35,38,Female,6.33,12.44,17,3.36,3.8,1.43,Phoenix,Sunday
36,26,Male,8.27,8.47,22,4.03,1.69,2.93,Chicago,Monday
37,56,Male,7.08,1.39,27,4.73,4.76,0.55,Houston,Tuesday
38,35,Male,7.57,9.78,19,2,3.69,4.83,Chicago,Wednesday
39,21,Female,9.62,1.58,15,3.92,2.99,0.87,Phoenix,Thursday
40,42,Female,6.29,6.86,20,1.33,4.4,3.24,Chicago,Friday
41,31,Male,1.45,13.08,4,4.95,0.25,1.23,Houston,Saturday
42,26,Female,2.8,3.15,15,0.13,1.29,3.59,Houston,Sunday
43,43,Female,5.82,6.07,15,3.02,2.33,3.88,Chicago,Monday
44,19,Female,8.97,10.49,24,3.3,1.13,3.37,Houston,Tuesday
45,37,Female,7.53,12.47,17,3.44,3.72,3.07,Houston,Wednesday
46,45,Female,8.15,9.72,22,0.6,4.6,4.46,Chicago,Thursday
47,24,Male,6.27,4.36,29,4.69,2.12,0.39,Phoenix,Friday
48,25,Female,7.77,9.77,12,0.91,1.71,1.65,Houston,Saturday
49,52,Male,4.62,4.86,5,3.11,4.81,1.24,Houston,Sunday
50,31,Female,6.17,10.34,21,1.11,2.22,4.94,Houston,Monday
51,34,Male,9.19,13.4,5,1.54,2.45,1.95,Houston,Tuesday
52,53,Female,10.59,10.38,24,2.73,1.76,3.66,Chicago,Wednesday
53,57,Male,5.77,12.22,16,2.09,4.55,3.42,Phoenix,Thursday
54,21,Female,1.48,1.03,10,0.8,2.84,1.06,Phoenix,Friday
55,19,Male,2.78,10.33,29,0.85,3.81,1.19,New York,Saturday
56,23,Female,1.23,11.78,25,2.09,4.06,1.41,Houston,Sunday
57,59,Male,8.19,1.53,6,3.79,1.71,2.06,Houston,Monday
58,21,Female,4.66,12.33,29,4.49,2.17,1.17,New York,Tuesday
59,46,Male,6.97,4.34,22,0.42,4.24,0.1,Phoenix,Wednesday
60,35,Male,6.43,9.65,13,1.97,1.82,4.4,Los Angeles,Thursday
61,43,Female,1.9,11.4,28,0.5,3.97,4.83,Los Angeles,Friday
62,51,Female,5.44,9.61,13,0.08,4.7,1.71,Phoenix,Saturday
63,27,Male,3.43,2.2,29,3.31,3.12,1.69,Houston,Sunday
64,53,Female,5.6,8.75,13,3.01,3.71,0.04,Los Angeles,Monday
65,31,Male,3.24,8.14,4,0.82,4.03,3.4,Chicago,Tuesday
66,48,Male,10.24,12.7,19,1.17,4.23,4.13,Chicago,Wednesday
67,32,Male,2.92,6.26,11,0.12,1.98,0.73,New York,Thursday
68,25,Female,11.57,5.17,4,4.17,0.26,0.8,Phoenix,Friday
69,31,Male,5.57,10.75,26,4.87,2.01,3.95,Phoenix,Saturday
70,40,Male,10.31,6.36,17,0.68,3.37,3.08,Los Angeles,Sunday
71,57,Female,7.92,9.4,18,1.16,2.25,0.22,Houston,Monday
72,38,Female,9.09,9.4,27,4.34,3.74,3.11,Phoenix,Tuesday
73,33,Female,9.44,12.54,6,4.63,1.78,1.54,Los Angeles,Wednesday
74,35,Female,6.55,8.78,10,2.1,3.17,1.84,Los Angeles,Thursday
75,41,Male,6.98,7.53,11,0.25,0.93,3.85,Phoenix,Friday
76,43,Male,6.65,2.81,28,0.2,3.75,4.05,Los Angeles,Saturday
77,42,Male,7.47,2.5,28,2.87,2.73,2,New York,Sunday
78,58,Male,1.32,3.01,7,1.96,1.02,4.74,New York,Monday
79,46,Female,5.35,3.23,18,0.14,1.46,2.03,Phoenix,Tuesday
80,32,Male,7.67,9.29,15,2.92,3.74,3.86,Houston,Wednesday
81,18,Male,7.57,10.63,9,0.06,2.41,2.42,New York,Thursday
82,42,Female,9.72,7.89,28,3.94,1.08,4.49,New York,Friday
83,24,Male,8.21,11.78,22,1.53,4.84,4.54,Phoenix,Saturday
84,26,Male,11.91,13.89,19,0.2,3.58,0.44,Chicago,Sunday
85,41,Male,4.12,11.66,5,2.94,4.79,4.68,Los Angeles,Monday
86,18,Male,4.95,10.03,7,1.99,2.14,4.13,New York,Tuesday
87,25,Male,5.22,7.92,21,4.87,2.38,3.96,Chicago,Wednesday
88,41,Male,6.12,6.84,14,2.72,4.49,1,Houston,Thursday
89,28,Female,10.2,2.1,29,1.38,2.63,4.03,Chicago,Friday
90,34,Female,3.59,6.19,9,3.55,3.54,4.25,Phoenix,Saturday
91,25,Male,9.54,12.83,11,1.36,1.26,1.45,Houston,Sunday
92,52,Male,5.46,11.5,8,4.52,2.23,4.76,Houston,Monday
93,52,Female,7.62,3.81,28,1.87,0.62,0.25,Chicago,Tuesday
94,50,Male,7.96,7.07,19,2.75,1.03,0.75,Phoenix,Wednesday
95,22,Male,5.1,11.62,18,0.25,0,2.69,New York,Thursday
96,59,Male,6.64,1.88,25,2.13,0.2,2.88,Chicago,Friday
97,56,Female,5.54,6.04,5,4.16,4.89,3.23,New York,Saturday
98,58,Male,1.76,12.07,23,4.03,1.21,0.08,Chicago,Sunday
99,45,Female,5.81,6.25,28,1.12,3.32,4.8,New York,Monday
100,24,Male,2.07,2.01,6,1.13,4.2,0.22,Chicago,Tuesday
101,26,Female,5.46,8.05,12,4.09,2.75,0.72,Houston,Wednesday
102,25,Female,7.52,12.2,7,4.65,0.77,0.07,Los Angeles,Thursday
103,29,Male,7.37,8.67,23,0.48,3.64,2.83,Houston,Friday
104,51,Female,8.29,3.94,24,2.25,3,4.66,New York,Saturday
105,50,Male,2.05,6,12,1.69,3.66,3.33,Phoenix,Sunday
106,40,Female,8.17,6.85,14,4.35,3.85,4.11,Houston,Monday
107,41,Male,4.43,8.53,12,0.42,4.88,0.07,Los Angeles,Tuesday
108,54,Male,5.39,10.87,15,1.06,2.87,2.71,New York,Wednesday
109,52,Female,10.44,2.29,13,3.76,1.71,2.3,Houston,Thursday
110,57,Male,1.1,12.57,24,0.26,3.24,2.49,Chicago,Friday
111,39,Male,7.47,1.16,18,2.46,0.34,0.36,Phoenix,Saturday
112,44,Female,7.59,5.81,10,2.21,4.49,3.42,New York,Sunday
113,52,Male,5.36,1.36,10,1.67,0.6,2.52,Houston,Monday
114,18,Male,3.61,6.11,29,1.97,1.64,3.83,New York,Tuesday
115,52,Female,3.58,7.84,27,2.65,4.08,2.43,Chicago,Wednesday
116,54,Female,10.72,7.65,10,0.81,2.99,0.75,Los Angeles,Thursday
117,31,Male,5.86,3.15,15,2.86,1.97,3.24,Houston,Friday
118,20,Male,4.64,9.39,29,4.03,2.37,0.86,New York,Saturday
119,18,Female,5.94,1.58,4,3.8,4.27,4.36,New York,Sunday
120,22,Female,8.36,10.9,14,0.77,1.7,3.07,New York,Monday
121,43,Male,2.6,13.31,12,0.75,4.35,0.79,Los Angeles,Tuesday
122,31,Female,5.94,5.42,14,1.34,0.44,4.81,New York,Wednesday
123,56,Male,7.47,7.72,13,1.81,3.88,2.59,Phoenix,Thursday
124,44,Male,11.43,5.93,17,2.04,4.24,0.36,Phoenix,Friday
125,26,Male,3.78,1.09,18,3.4,0.91,3.13,New York,Saturday
126,32,Male,4.95,6.02,19,0.28,2.15,1.27,Phoenix,Sunday
127,32,Male,5.17,11.29,28,0.17,0.83,4.02,Houston,Monday
128,43,Female,7.66,8.75,4,1.96,3.53,4.09,Phoenix,Tuesday
129,59,Female,4.92,2.32,20,3.49,2.68,4.89,New York,Wednesday
130,30,Female,6.87,12.01,14,0.97,3.18,2.51,Chicago,Thursday
131,49,Female,9.6,7.9,21,3.21,0.98,2.27,Houston,Friday
132,56,Male,8.76,11.94,28,1.3,1.06,3.77,Los Angeles,Saturday
133,49,Male,5.91,8.54,25,4.43,0.21,0.66,New York,Sunday
134,21,Male,10.51,8.28,20,4.48,1.61,2.73,Los Angeles,Monday
135,47,Male,7.14,2.37,19,1.49,2.8,2.73,Chicago,Tuesday
136,54,Female,6.94,3.18,8,1.15,4.29,0.45,Los Angeles,Wednesday
137,40,Male,1.38,13.64,27,2.06,3.33,2.09,New York,Thursday
138,56,Male,11.85,3.97,17,1.2,2.18,4.27,New York,Friday
139,32,Female,2.35,13.71,5,3.36,4.77,4.28,Chicago,Saturday
140,46,Female,3.54,7.91,8,4.13,3.6,0.5,New York,Sunday
141,53,Female,1.57,2.77,5,3.37,4.65,0.45,Chicago,Monday
142,30,Female,8.04,2.29,3,4.12,2.64,1.31,Chicago,Tuesday
143,49,Male,3.47,3.72,15,1.98,1.29,4.37,New York,Wednesday
144,24,Male,2.98,13.03,23,0.78,0.26,0.64,Phoenix,Thursday
145,39,Female,1.97,6.38,28,3.69,3.63,3.6,Chicago,Friday
146,45,Male,2.14,6.14,16,1.8,0.61,0.51,New York,Saturday
147,19,Male,7.43,5.07,15,3.36,1.51,3.12,Phoenix,Sunday
148,59,Male,8.57,2.91,29,1.35,2.66,1.78,Chicago,Monday
149,23,Female,5.37,7.34,6,0.41,2.82,3.94,Phoenix,Tuesday
150,45,Male,6.28,2.69,9,4.96,3,1.17,Houston,Wednesday
151,45,Female,8.55,11.86,24,0.78,0.83,3.2,Houston,Thursday
152,37,Male,1.19,5.82,12,4.94,1.9,1.18,Phoenix,Friday
153,47,Male,4.55,5.87,9,4.89,3.09,3.57,Chicago,Saturday
154,28,Male,11.7,7.16,23,3.97,4.85,4.37,New York,Sunday
155,45,Female,7.38,6.77,17,3.3,3.64,0.63,Los Angeles,Monday
156,42,Male,3.8,13.93,17,2.89,4.61,4.33,New York,Tuesday
157,56,Female,6.74,8.09,6,4.33,3.81,2.97,Los Angeles,Wednesday
158,50,Female,4.77,2.15,25,1.45,2.96,0.64,Los Angeles,Thursday
159,18,Female,6.85,8.89,25,2.34,0.96,2.14,Chicago,Friday
160,44,Male,2.38,2.97,8,3.1,3.33,0.8,Phoenix,Saturday
161,30,Male,2.46,1.4,26,2.06,3.12,3.5,New York,Sunday
162,58,Male,2.58,13.62,22,2.14,3.01,3.79,Phoenix,Monday
163,20,Male,11.34,11.06,28,1.65,2.45,0.53,Houston,Tuesday
164,56,Female,9.06,13.74,7,2.82,2.64,2.53,Chicago,Wednesday
165,23,Female,2.79,7.21,22,4.25,1.67,4.07,Chicago,Thursday
166,25,Female,3.07,7.92,14,1.01,2.6,4.68,Houston,Friday
167,44,Male,9.04,3.19,3,4.67,0.99,2.57,New York,Saturday
168,26,Female,2.72,4.21,10,3.45,4.03,4.75,Houston,Sunday
169,54,Male,3.58,11.9,3,4.12,0.93,2.68,New York,Monday
170,50,Female,11.6,5.63,7,2.78,0.42,1.97,Los Angeles,Tuesday
171,59,Male,3.81,11.75,24,3.9,2.18,4.24,Chicago,Wednesday
172,41,Male,8.28,10.22,8,0.08,3.29,2.46,New York,Thursday
173,32,Female,11.76,3.3,23,4.09,2.19,2.36,Phoenix,Friday
174,49,Female,5.12,7.6,5,0.2,1.38,2.45,Phoenix,Saturday
175,49,Female,1.19,9.81,17,4.45,2.79,4.23,Chicago,Sunday
176,41,Female,3.69,4.06,7,4.96,1.74,4.16,Houston,Monday
177,58,Male,10.14,11.8,26,1.47,4.66,2.02,Houston,Tuesday
178,29,Female,10.51,8.08,16,1.05,4.61,1.67,New York,Wednesday
179,56,Female,9.45,3.15,20,3.83,2.51,2.46,Houston,Thursday
180,19,Female,2.24,8.58,18,1.27,1.64,2.86,Chicago,Friday
181,20,Male,9.75,14,8,4.33,3.69,1.19,New York,Saturday
182,54,Male,11.11,2.96,27,0.51,0.18,3.97,Los Angeles,Sunday
183,34,Female,7.61,11.62,26,0.63,2.37,2.43,Houston,Monday
184,19,Male,11.35,3.7,16,4.9,1.68,1.67,Houston,Tuesday
185,19,Female,10.1,11.17,29,3.37,4.6,0.53,New York,Wednesday
186,45,Male,8.34,10.55,26,4.23,0.06,1.19,Phoenix,Thursday
187,40,Male,7.35,4.91,10,1.62,2.76,4.75,Houston,Friday
188,54,Male,4.83,5.24,9,3.38,3.7,1.53,Chicago,Saturday
189,49,Male,2.75,11.3,10,2.97,2.43,0.84,Houston,Sunday
190,50,Female,7.65,7,15,3.02,0.43,2.3,Los Angeles,Monday
191,18,Female,4.5,10.5,8,3.41,4.86,1.54,Houston,Tuesday
192,36,Female,10.53,2.92,20,2.88,2.59,0.18,Phoenix,Wednesday
193,19,Male,11.93,12.08,4,2.15,3.07,1.62,Houston,Thursday
194,43,Female,9.28,10.24,10,1.38,1.18,2.72,New York,Friday
195,49,Female,2,12.79,13,3.84,2.42,2.76,Houston,Saturday
196,23,Female,4.18,2.72,3,1.13,2.15,1.78,Phoenix,Sunday
197,49,Male,2.2,8.71,24,3.46,0.37,2.24,New York,Monday
198,21,Male,8.16,8.79,8,1.17,0.53,4.83,Chicago,Tuesday
199,28,Male,9.42,5.59,18,3.13,4.19,1.89,New York,Wednesday
200,34,Female,11.18,6.96,29,3.74,1.2,1.29,Los Angeles,Thursday
201,55,Female,5.82,1.49,22,1.09,0.97,1.22,New York,Friday
202,41,Female,10.92,10.7,14,0.3,2.52,2.29,Chicago,Saturday
203,22,Male,10.66,8.14,13,0.65,3.84,3.8,Houston,Sunday
204,51,Male,4.49,1.75,29,3.03,0.31,1.03,New York,Monday
205,23,Female,10.56,9.85,12,4.25,2.88,3.55,New York,Tuesday
206,39,Male,5.13,7.07,5,0.22,0.6,0.11,New York,Wednesday
207,28,Male,4.27,1.45,15,3.67,0.18,2.09,New York,Thursday
208,33,Male,8.14,13.6,29,1.71,0.26,3.88,Chicago,Friday
209,50,Male,4.61,13.34,5,2.39,4.17,1.69,Phoenix,Saturday
210,26,Female,7.93,7.67,17,4.64,0.59,2.82,Phoenix,Sunday
211,23,Male,7.71,2.22,18,1.66,0.23,1.02,New York,Monday
212,33,Male,7.2,10.81,15,2.33,2.19,3.71,Chicago,Tuesday
213,46,Male,5.18,7.4,19,0.07,4.22,0.26,Chicago,Wednesday
214,20,Male,7.03,4.93,5,0.41,1.31,4.26,New York,Thursday
215,37,Female,7.56,7.39,22,1.29,2.11,0.99,Los Angeles,Friday
216,53,Female,7,7.79,13,0.14,0.2,4.37,New York,Saturday
217,36,Male,5.89,8.32,29,3.16,2.25,1.76,Los Angeles,Sunday
218,43,Male,1.16,6.74,23,2.13,2.89,3.61,New York,Monday
219,20,Male,7.46,8.87,21,2.74,2.85,1.6,Los Angeles,Tuesday
220,36,Male,2.85,12.94,24,0.87,1.66,4.53,Los Angeles,Wednesday
221,37,Male,8.07,5.71,13,1.48,1.58,0.63,New York,Thursday
222,49,Male,9.35,10.43,18,3.32,0.53,0.89,Los Angeles,Friday
223,24,Female,6.5,12.63,23,4.83,1.83,2.47,Houston,Saturday
224,58,Male,6.97,6.93,5,0.25,0.5,0.41,Phoenix,Sunday
225,50,Female,11.47,6.76,24,4.45,3.83,0.98,Chicago,Monday
226,57,Female,10.32,8.83,8,2.88,4.83,4.72,Los Angeles,Tuesday
227,56,Male,11.06,8.69,16,2.82,4.85,4.88,Los Angeles,Wednesday
228,35,Female,9.95,11.49,26,2.5,4.33,1.88,Chicago,Thursday
229,57,Female,2.2,7.19,20,0.35,3,4.62,Los Angeles,Friday
230,18,Female,2.64,13.95,19,0.45,3.5,2.72,Chicago,Saturday
231,28,Female,6.79,1.77,6,3,1.43,1.35,New York,Sunday
232,45,Female,3.71,1.04,25,1.7,3.15,3.51,Houston,Monday
233,42,Female,6.24,9.32,17,4.59,2.28,3.29,Houston,Tuesday
234,40,Male,5.34,4.88,13,2.03,2.41,4.95,Phoenix,Wednesday
235,48,Female,7.04,4.12,28,0.72,3.79,1.33,Los Angeles,Thursday
236,47,Female,9.22,5.05,5,3.57,1.41,3.36,Phoenix,Friday
237,59,Female,8.87,4.33,5,1.47,1.59,0.26,New York,Saturday
238,52,Male,6.73,1.4,18,2.63,4.62,0.57,Houston,Sunday
239,24,Female,10.05,13.63,7,3.49,0.28,0.02,New York,Monday
240,33,Male,5.74,3.87,23,4.5,2.43,5,New York,Tuesday
241,43,Female,10.86,10.54,12,3.96,4.56,4.01,Los Angeles,Wednesday
242,19,Male,1.78,10.91,21,3.38,3.05,3.93,New York,Thursday
243,18,Male,11.5,13.08,27,3.4,2.73,2.55,Houston,Friday
244,29,Female,8.2,1.4,6,4.73,1.25,1.5,Phoenix,Saturday
245,22,Female,5.18,12.34,21,1.48,1.72,0.76,Houston,Sunday
246,54,Male,3.17,7.85,13,0.01,4.26,1.42,Los Angeles,Monday
247,49,Female,6.27,9.22,4,1.36,2.8,1.88,Houston,Tuesday
248,26,Male,3.14,9.38,12,1.09,2.57,3.78,Chicago,Wednesday
249,58,Male,2.83,11.66,13,3.31,0.5,2.7,Phoenix,Thursday
250,52,Male,7.79,5.33,27,3.17,0.08,0.39,Chicago,Friday
251,36,Male,6.75,10.53,22,2.97,4.82,0.09,Chicago,Saturday
252,33,Male,8.37,7.87,18,0.08,1.88,0.51,Los Angeles,Sunday
253,20,Female,11.23,11.31,21,3.64,3.02,2.05,New York,Monday
254,37,Male,6.85,13.88,25,1.62,0.4,4.67,Chicago,Tuesday
255,41,Male,7.39,3.61,26,3.33,3.42,3.19,Houston,Wednesday
256,50,Female,1.99,13.93,13,2.78,4.66,4.01,New York,Thursday
257,41,Male,8.89,2.17,16,1.71,2.88,2.33,Houston,Friday
258,28,Female,5.4,1.03,4,0.67,0.63,1.81,Houston,Saturday
259,25,Female,11.74,1.57,25,0.47,2.91,0.54,New York,Sunday
260,53,Female,10.05,5.44,7,4.16,3.83,4.38,New York,Monday
261,55,Male,6.75,9.23,29,4.59,2.03,3.92,Houston,Tuesday
262,57,Male,2.36,1.9,7,3.25,4.4,0.84,Los Angeles,Wednesday
263,37,Male,10.45,1.07,21,0.52,3.24,2.56,Phoenix,Thursday
264,52,Female,9.8,13.18,23,2.01,4.5,2.44,Phoenix,Friday
265,42,Male,3.03,11.69,14,3.64,3.12,3.13,Los Angeles,Saturday
266,52,Female,4.25,11.52,20,3.9,0.66,4.73,New York,Sunday
267,42,Male,9.73,12.5,6,0.59,1.55,2.9,Houston,Monday
268,46,Female,3.04,10.1,24,0,1.01,2.7,Phoenix,Tuesday
269,35,Male,11.1,2.36,19,3.56,4.54,0.25,Houston,Wednesday
270,35,Male,5.67,6.19,12,1.78,3.8,0.31,Los Angeles,Thursday
271,19,Male,1.96,10.4,22,1.27,3.38,0.94,Houston,Friday
272,52,Female,9.97,4.64,8,0.06,1.5,0.16,Los Angeles,Saturday
273,33,Female,5.11,9.94,27,2.7,0.92,3.72,New York,Sunday
274,58,Male,6.79,1.32,16,4.26,3.78,3.62,Los Angeles,Monday
275,53,Male,2.24,4.98,13,4.79,2.37,0.68,Los Angeles,Tuesday
276,50,Female,1.03,8.14,13,2.83,1.13,4.18,Phoenix,Wednesday
277,21,Female,8.02,9.22,20,2.57,3.08,0.77,Houston,Thursday
278,50,Female,6.67,8.5,29,0.43,0.2,1.51,Phoenix,Friday
279,31,Male,7.53,10.07,25,2.74,1.63,1.24,Chicago,Saturday
280,38,Female,9.73,1.08,24,1.9,2.34,1.86,Los Angeles,Sunday
281,37,Male,8.11,2.31,20,3.04,0.74,1.27,Chicago,Monday
282,25,Female,2.92,12.3,26,1.94,4.92,2.44,Phoenix,Tuesday
283,24,Male,4.97,9.86,25,1.2,1.05,2.04,Houston,Wednesday
284,20,Female,10.96,2.47,13,0.47,0.65,4.93,Phoenix,Thursday
285,34,Female,9.47,11.95,23,1.57,1.02,0.28,Houston,Friday
286,50,Female,7.12,4.15,14,0.48,3.85,0.71,Houston,Saturday
287,29,Female,3.81,7.22,7,0.88,2.13,0.26,New York,Sunday
288,39,Female,4.32,2.89,25,4.94,2.83,3.13,Los Angeles,Monday
289,39,Male,9.05,10.23,11,2.22,0.11,0.27,Phoenix,Tuesday
290,47,Female,10.36,9.67,29,2.66,0.17,4.18,Houston,Wednesday
291,55,Female,8.39,3.74,27,4.37,2.23,2.56,Phoenix,Thursday
292,55,Female,9.9,12.22,11,4.98,4.08,2.64,Phoenix,Friday
293,25,Male,9.43,6.22,24,2.91,4.43,2.81,Houston,Saturday
294,44,Female,2.65,4.8,12,4.06,0.43,0.85,Chicago,Sunday
295,44,Male,5.66,2.98,24,1.63,2.69,0.99,Los Angeles,Monday
296,51,Female,2.68,4.46,21,1.53,4.57,1.59,Los Angeles,Tuesday
297,38,Female,3.59,1.29,3,2.01,1.94,2.97,New York,Wednesday
298,47,Male,10.56,8.58,9,3.36,4.15,1.05,New York,Thursday
299,50,Female,6.2,11.95,6,3.41,0.67,0.58,New York,Friday
300,45,Male,6.89,8.14,3,1.58,4.68,4.85,Los Angeles,Saturday
301,50,Male,2.96,3.85,17,0.67,3.76,0.11,Chicago,Sunday
302,22,Female,4.43,1.44,10,3.16,4.71,4.01,Los Angeles,Monday
303,36,Male,3.53,3.79,14,0.64,3.38,3.94,Los Angeles,Tuesday
304,21,Female,3.27,6.41,24,2.89,1.82,1.49,Los Angeles,Wednesday
305,52,Female,8.02,10.87,24,3.47,4.69,0.68,Los Angeles,Thursday
306,34,Male,3.83,3.44,20,3.5,1.38,0.73,Chicago,Friday
307,45,Male,7.95,10.36,17,3.77,1.66,3.49,New York,Saturday
308,47,Male,1.64,12.27,19,4.36,3.5,3.21,Phoenix,Sunday
309,46,Male,2.56,6.9,16,2.5,3.83,3.91,New York,Monday
310,23,Female,4.02,11.68,16,3.65,4.65,4.69,New York,Tuesday
311,52,Female,7.57,8.21,20,3.1,1.02,3.46,Phoenix,Wednesday
312,58,Male,8.43,9.28,22,0.93,3.99,0.78,Los Angeles,Thursday
313,54,Female,5.87,7.84,20,0.13,3.69,1.22,Chicago,Friday
314,41,Female,5.9,7.02,18,1.42,0.32,4.21,Chicago,Saturday
315,46,Female,8.97,4.05,3,2.22,1.94,1.05,New York,Sunday
316,48,Female,1.17,4.94,25,3.09,1.41,0.36,Phoenix,Monday
317,52,Male,4.75,4.77,29,4.25,1.52,3.52,Houston,Tuesday
318,50,Male,10.01,8.32,13,0.98,4.91,2.01,Los Angeles,Wednesday
319,38,Female,7.64,2.56,17,0.63,3.21,4.6,New York,Thursday
320,49,Male,4.71,12.92,14,4.82,3.59,3.25,Chicago,Friday
321,40,Male,10.96,10.37,10,0.54,4.88,0.45,Phoenix,Saturday
322,50,Male,9.5,6.22,24,2.39,1.89,4.74,Phoenix,Sunday
323,20,Female,3.91,3.06,22,2.93,4.01,1.29,New York,Monday
324,35,Female,8.1,12.47,8,2.71,2.17,1.69,Houston,Tuesday
325,42,Female,7.55,11.71,5,0.43,4.35,2.01,Chicago,Wednesday
326,59,Male,5.41,10.38,26,0.29,0.9,0.26,New York,Thursday
327,48,Female,5.04,4.53,28,0.53,4.74,2.48,Houston,Friday
328,20,Female,4.78,6.23,15,2.93,1.09,0.62,Phoenix,Saturday
329,57,Male,7.79,2.34,15,2.72,1.63,2,Los Angeles,Sunday
330,41,Female,5.87,3.46,4,1.17,3.78,1.75,Chicago,Monday
331,49,Female,10.15,11.18,7,3.19,1.97,3.86,Chicago,Tuesday
332,39,Male,8.37,10.3,19,4.1,3.04,4.02,Houston,Wednesday
333,40,Male,1.77,8.72,8,0.21,2.22,0.77,New York,Thursday
